region,density
Tokyo,6168.7
Osaka,4639.80
Kanagawa,3777.70
Saitama,1913.40
Aichi,1446.70
Chiba,1206.50
Fukuoka,1023.10
Hyogo,658.80
Okinawa,628.40
Kyoto,566.00
Kagawa,520.20
Ibaraki,478.40
Shizuoka,475.80
Nara,369.60
Shiga,351.70
Saga,341.20
Hiroshima,335.40
Nagasaki,333.30
Miyagi,320.50
Mie,314.50
Gunma,310.10
Tochigi,308.10
Ishikawa,275.70
Okayama,270.10
Toyama,251.00
Ehime,244.10
Kumamoto,241.10
Yamaguchi,229.80
Wakayama,203.90
Gifu,191.30
Fukui,187.70
Yamanashi,187.00
Oita,183.90
Niigata,183.10
Tokushima,182.30
Kagoshima,179.40
Tottori,163.50
Nagano,154.80
Miyazaki,142.70
Fukushima,138.90
Aomori,135.60
Yamagata,120.50
Shimane,103.50
Kochi,102.50
Akita,87.90
Iwate,83.80
Hokkaido,68.6